timestamp_rel,mem_total,mem_available,anon_pages,pgmajfault,psi_mem_full,oom_kills
0.05,287296,174976,85228,0
1.67,287296,174796,85264,0
3.36,287296,174796,85244,0
4.71,287296,174796,85252,0
5.93,287296,174796,85248,0
7.15,287296,174848,85252,0
8.37,287296,174848,85248,0
9.60,287296,174848,85252,0
10.82,287296,174848,85252,0
12.22,287296,174848,85252,0
13.53,287296,174848,85244,0
14.75,287296,174848,85252,0
15.97,287296,174848,85248,0
17.24,287296,174848,85248,0
18.48,287296,174852,85252,0
19.71,287296,174852,85252,0
20.93,287296,174852,85252,0
22.28,287296,173980,85348,0
24.29,287296,173952,85356,0
26.60,287296,173732,85512,0
28.69,287296,174268,85524,0
30.74,287296,174732,85548,0
32.69,287296,174420,85672,0
36.21,287296,174216,86088,0
39.16,287296,173380,86444,0
42.28,287296,173028,87304,0
44.01,287296,171956,88272,0
45.94,287296,168948,91064,0
48.32,287296,167132,91704,0
50.42,287296,167132,91708,0
52.39,287296,167492,91792,0
54.71,287296,167280,92928,0
60.86,287296,168160,93364,0
100.39,287296,161640,94640,0
115.32,287296,159472,97600,0
119.95,287296,162060,98436,0
124.89,287296,157196,98728,0
130.50,287296,159744,101412,0
134.26,287296,158048,102572,0
137.70,287296,152744,103304,0
148.13,287296,155492,104276,0
155.89,287296,155164,105172,0
159.63,287296,154440,105724,0
163.54,287296,153560,106896,0
168.98,287296,150876,108608,0
172.03,287296,149480,109488,0
174.86,287296,148816,110140,0
179.86,287296,147632,111208,0
184.30,287296,147272,111724,0
191.03,287296,147648,112020,0
195.41,287296,146324,113304,0
203.19,287296,143988,115580,0
208.13,287296,132880,123480,0
212.17,287296,135944,123580,0
213.98,287296,137316,120760,0
218.87,287296,133784,121276,0
223.57,287296,133504,121364,0
231.02,287296,136664,121720,0
234.46,287296,136356,121740,0
238.23,287296,136152,122260,0
241.89,287296,131556,122612,0
247.81,287296,131436,122796,0
250.55,287296,130324,122984,0
256.92,287296,131088,123084,0
262.15,287296,134960,123424,0
264.92,287296,133900,124208,0
268.56,287296,133872,124360,0
272.94,287296,128612,127388,0
282.16,287296,131092,127968,0
292.68,287296,128016,130796,0
304.90,287296,127364,130884,0
310.46,287296,124880,131716,0
317.55,287296,124260,131724,0
321.40,287296,123844,131864,0
324.45,287296,123852,131956,0
333.50,287296,114540,136436,0
341.84,287296,114292,136572,0
355.08,287296,114520,136652,0
367.31,287296,118376,136952,0
372.73,287296,117932,137140,0
376.67,287296,115144,139896,0
381.16,287296,114892,139908,0
386.26,287296,114900,139924,0
392.26,287296,115832,140040,0
401.85,287296,114752,140736,0
408.88,287296,114412,141252,0
415.23,287296,114100,141636,0
421.03,287296,113632,141940,0
427.49,287296,113152,142600,0
435.01,287296,112912,142988,0
447.64,287296,112124,143596,0
453.60,287296,107380,144156,0
462.27,287296,103552,147316,0
465.99,287296,107020,148016,0
467.83,287296,106720,148208,0
469.66,287296,104880,149988,0
472.28,287296,104648,150316,0
474.62,287296,103984,150936,0
477.36,287296,104464,151208,0
486.55,287296,99252,151496,0
490.40,287296,98780,152036,0
493.08,287296,98128,152716,0
495.32,287296,97888,152732,0
499.39,287296,98040,152740,0
503.47,287296,97908,152800,0
506.53,287296,97648,153184,0
511.94,287296,101068,153908,0
514.15,287296,99936,154952,0
520.75,287296,94960,155800,0
524.14,287296,95004,155844,0
529.57,287296,95412,155892,0
533.02,287296,96528,156116,0
535.18,287296,95972,156552,0
541.07,287296,91472,156636,0
546.35,287296,93560,157052,0
549.54,287296,92184,158064,0
555.66,287296,97356,158228,0
558.64,287296,96488,158228,0
561.98,287296,97060,158344,0
565.43,287296,96820,158564,0
569.06,287296,96528,158904,0
573.26,287296,96220,159132,0
578.43,287296,95980,159168,0
583.10,287296,95992,159300,0
585.64,287296,95500,160032,0
587.43,287296,94784,160784,0
590.71,287296,87032,160828,0
592.88,287296,90876,161776,0
595.51,287296,90528,161796,0
599.83,287296,91352,161804,0
602.92,287296,93804,161836,0
607.37,287296,93440,161816,0
612.74,287296,93384,162096,0
619.53,287296,88204,162396,0
623.52,287296,92280,162636,0
625.95,287296,92104,163264,0
627.95,287296,91860,163396,0
629.49,287296,89704,164828,0
631.14,287296,89708,164832,0
633.92,287296,85732,164844,0
641.90,287296,85540,164848,0
644.98,287296,85472,164868,0
650.10,287296,85324,164888,0
665.97,287296,89800,165288,0
670.72,287296,84572,165700,0
673.26,287296,89140,165764,0
676.06,287296,88544,166172,0
678.01,287296,83464,166880,0
680.54,287296,83192,166960,0
682.23,287296,87516,167520,0
683.93,287296,83824,168372,0
686.07,287296,83544,168480,0
688.83,287296,83548,168752,0
696.20,287296,79012,168768,0
702.36,287296,83708,168792,0
705.41,287296,83664,168808,0
707.30,287296,83572,168908,0
709.41,287296,82920,169668,0
712.78,287296,77820,169944,0
714.96,287296,81796,170704,0
716.52,287296,76960,170708,0
724.33,287296,77064,170704,0
730.79,287296,76984,170736,0
737.15,287296,76852,170728,0
746.80,287296,77024,170732,0
753.12,287296,76948,170744,0
757.07,287296,76980,170732,0
764.73,287296,81900,170764,0
771.46,287296,76916,170776,0
775.76,287296,76916,170788,0
780.42,287296,76920,170908,0
783.95,287296,76500,171388,0
787.07,287296,76332,171424,0
790.08,287296,76240,171480,0
792.84,287296,76220,171564,0
802.86,287296,75964,171564,0
819.96,287296,76128,171564,0
833.73,287296,76056,171572,0
840.07,287296,76132,171564,0
847.46,287296,76136,171580,0
859.41,287296,76104,171608,0
867.67,287296,75724,171632,0
893.12,287296,75924,171640,0
912.28,287296,75944,171644,0
928.64,287296,75960,171632,0
942.66,287296,75884,171636,0
951.29,287296,76064,171640,0
958.97,287296,76084,171644,0
963.19,287296,75740,171628,0
972.76,287296,75920,171672,0
988.13,287296,76028,171672,0
994.84,287296,75852,171752,0
1008.78,287296,75668,171764,0
1027.89,287296,75716,171772,0
1039.57,287296,75692,171828,0
1052.72,287296,75724,171832,0
1059.95,287296,75508,171920,0
1075.30,287296,73540,174444,0
1090.35,287296,73152,174460,0
1094.82,287296,73176,174476,0
1098.76,287296,73212,174464,0
1104.68,287296,73192,174476,0
1109.65,287296,73212,174472,0
1114.95,287296,73224,174476,0
1118.83,287296,73136,174476,0
1126.09,287296,73168,174464,0
1132.02,287296,73104,174504,0
1136.28,287296,73212,174528,0
1139.25,287296,72332,175380,0
1142.39,287296,72340,175376,0
1146.23,287296,72284,175376,0
1153.60,287296,72232,175376,0
1157.23,287296,72136,175376,0
1160.81,287296,72300,175368,0
1165.21,287296,72328,175376,0
1168.42,287296,72220,175388,0
1175.61,287296,72200,175392,0
1180.84,287296,72260,175380,0
1190.21,287296,72240,175388,0
1198.33,287296,72236,175384,0
1203.76,287296,72252,175400,0
1208.00,287296,77140,175392,0
1214.23,287296,72236,175408,0
1225.49,287296,72164,175452,0
1242.84,287296,71676,175544,0
1261.85,287296,71928,175632,0
1266.66,287296,71904,175656,0
1275.65,287296,71916,175720,0
1282.73,287296,71860,175752,0
1288.71,287296,71812,175784,0
1293.65,287296,71668,175864,0
1315.38,287296,71640,175924,0
1323.47,287296,71708,175976,0
1327.62,287296,71640,179360,0
1330.65,287296,72828,179768,0
